,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
        PAINTED-LADIES.COM,"Lifestyles, Lifestyles - Beauty/Fashion/Style",5.877,0.003,100,100,,,,,,,
        WOMANIST-MUSINGS.COM,"Social Media, Social Media - Blogs",5.808,0.003,100,100,,,,,,,
        MOMMYCRACKED.NET,"Family & Youth, Family & Youth - Family & Parenting",5.65,0.003,100,100,,,,,,,
        LILDUCKDUCK.COM,"Family & Youth, Family & Youth - Family & Parenting",5.274,0.002,100,100,,,,,,,
        THINKSIMPLENOW.COM,Lifestyles,5.123,0.002,100,100,,,,,,,
        HOMEMADE-BABY-FOOD-RECIPES.COM,"Lifestyles, Lifestyles - Food",5.117,0.002,100,100,,,,,,,
        FANTASYJR.COM,Lifestyles,4.827,0.002,100,100,,,,,,,
        GRASPINGFOROBJECTIVITY.COM,Lifestyles,4.553,0.002,100,100,,,,,,,
        Brunch At Saks Blog,"Lifestyles - Beauty/Fashion/Style, Lifestyles",4.274,0.002,100,100,,,,,,,
        GAMINGANGELS.COM,Games,4.205,0.002,100,100,,,,,,,
        FIVEJS.COM,"Family & Youth - Family & Parenting, Family & Youth",3.827,0.002,100,100,,,,,,,
        AFARMGIRLSDABBLES.COM,"Lifestyles, Lifestyles - Food",3.669,0.002,100,100,,,,,,,
        VIVAWOMAN.NET,"Lifestyles, Lifestyles - Beauty/Fashion/Style",3.658,0.002,100,100,,,,,,,
        LOVEMAEGAN.COM,"Social Media, Social Media - Blogs",3.583,0.002,100,100,,,,,,,
        THESHAPEOFAMOTHER.COM,"Family & Youth - Family & Parenting, Family & Youth",3.325,0.001,100,100,,,,,,,
        EVERYDAYMINIMALIST.COM,Lifestyles,3.209,0.001,100,100,,,,,,,
        ZELDALILY.COM,"Social Media, Social Media - Blogs",2.271,0.001,100,100,,,,,,,
        PARENTINGSQUAD.COM,"Family & Youth - Family & Parenting, Family & Youth",0.817,0,100,100,,,,,,,
        MATTLOGELIN.COM,"Social Media, Social Media - Blogs",0.809,0,100,100,,,,,,,
        SAHMANSWERS.COM,"Social Media, Social Media - Blogs",0.593,0,100,100,,,,,,,
        KITTYHELL.COM,Lifestyles,0.504,0,100,100,,,,,,,
        NAILNERD.COM,"Lifestyles - Beauty/Fashion/Style, Lifestyles",0.393,0,100,100,,,,,,,
        SOWONDERFULSOMARVELOUS.COM,"Lifestyles - Food, Lifestyles",0.29,0,100,100,,,,,,,
        ONETREEHILLBLOG.COM,Entertainment,0.249,0,100,100,,,,,,,
    BitTorrent Network,"Services - Downloads, Services",21371.133,9.538,100,100,100,8458.373,4.852,8.48,22924.072,0.212,1.073
        uTorrent (App),"Services, Services - Downloads",16561.957,7.392,100,100,,6660.51,0,0,,,
        BitTorrent (App),"Services - Downloads, Services",4785.012,2.136,100,100,,1853.452,0,0,,,
        UTORRENT.COM,"Services - Downloads, Services",1495.008,0.667,100,100,100,56.771,2.646,5.371,1849.471,1.431,1.237
        BITTORRENT.COM,"Services - Downloads, Services",860.783,0.384,100,100,100,38.951,2.206,3.109,1270.428,1.736,1.476
    WhitePages,"Directories/Resources - Directories, Directories/Resources",21198.549,9.461,100,100,100,1347.672,139.767,207.403,45876.297,3.047,2.164
        WHITEPAGES.COM,"Directories/Resources, Directories/Resources - Directories",19184.81,8.562,100,100,100,1164.99,121.945,181.58,39569.864,3.082,2.063
            WhitePages People,Directories/Resources,13364.185,5.965,100,100,100,831.905,74.295,99.183,28136.582,2.641,2.105
            WhitePages Reverse Phone,Directories/Resources,3351.92,1.496,100,100,100,168.743,8.772,8.222,5572.711,1.574,1.663
            WhitePages Business,Directories/Resources,2769.049,1.236,100,100,100,125.824,7.669,8.948,4016.574,1.909,1.451
            WhitePages Reverse Address,Directories/Resources,1117.98,0.499,100,100,100,90.071,2.109,3.129,2896.564,0.728,2.591
            WhitePages Neighbors,Directories/Resources,204.825,0.091,100,100,100,11.618,0.635,0.505,360.149,1.763,1.758
        SWITCHBOARD.COM,"Directories/Resources, Directories/Resources - Directories",1524.611,0.68,100,100,100,83.492,5.27,6.71,2701.525,1.951,1.772
        411.COM,"Directories/Resources - Directories, Directories/Resources",1222.491,0.546,100,100,100,123.55,11.788,17.818,4346.468,2.712,3.555
        ADDRESS.COM,"Directories/Resources - Directories, Directories/Resources",106.013,0.047,100,100,100,5.005,0.145,0.19,155.166,0.933,1.464
        MRNUMBER.COM,Services,75.204,0.034,100,100,100,2.926,0.103,0.115,90.708,1.134,1.206
        PHONENUMBER.COM,"Directories/Resources, Directories/Resources - Directories",30.197,0.013,100,100,,,,,,,
        PEOPLESEARCH.COM,Services,25.865,0.012,100,100,,,,,,,
        WHITEPAGES.CA,"Directories/Resources - Directories, Directories/Resources",24.402,0.011,100,100,,,,,,,
        WHITEPAGESINC.COM,Corporate Presence,19.47,0.009,100,100,,,,,,,
    JPMorgan Chase Property,"Business/Finance - Banking, Business/Finance",20933.507,9.343,100,100,100,2913.955,638.593,1360.194,112346.625,5.684,5.367
        JPMorgan Chase Bank,"Business/Finance - Banking, Business/Finance",20378.049,9.095,100,100,100,2862.831,588.401,1311.111,109822.328,5.358,5.389
            CHASE.COM,"Business/Finance - Banking, Business/Finance",20149.519,8.993,100,100,100,2826.523,577.502,1288.374,107902.107,5.352,5.355
            CHASEBONUS.COM,Business/Finance,1232.912,0.55,100,100,100,48.08,1.95,2.258,1495.423,1.304,1.213
            PAYMENTECH.COM,Services,102.707,0.046,100,100,,,,,,,
            CHASEPAYMENTECH.COM,Business/Finance,49.406,0.022,100,100,,,,,,,
            CHASEB2B.COM,Business/Finance,6.573,0.003,100,100,,,,,,,
            MYCHASECREDITCARDS.COM,Promotional Servers,5.973,0.003,100,100,,,,,,,
            CHASEPAYEEDIRECTORY.COM,"Business/Finance, Business/Finance - Banking",4.021,0.002,100,100,,,,,,,
            CHASEFREEDOMNOW.COM,"Business/Finance, Business/Finance - Personal Finance",0.863,0,100,100,,,,,,,
        JP Morgan,Business/Finance,804.6,0.359,100,100,100,61.022,49.589,48.178,2620.238,18.925,3.257
            JPMORGAN.COM,Corporate Presence,518.538,0.231,100,100,100,38.632,33.635,24.875,1704.24,19.736,3.287
            JPMORGANCHASE.COM,Corporate Presence,213.103,0.095,100,100,100,11.935,3.522,4.482,436.722,8.066,2.049
            PAYMENTNET.COM,Services,79.354,0.035,100,100,,,,,,,
        FIRSTUSA.COM,"Business/Finance, Business/Finance - Personal Finance",382.144,0.171,100,100,100,14.723,0.474,0.586,458.28,1.034,1.199
        Washington Mutual,"Business/Finance - Banking, Business/Finance",44.154,0.02,100,100,,,,,,,
            PROVIDIANSERVICES.COM,Services,41.938,0.019,100,100,,,,,,,
            WAMU.COM,"Business/Finance - Banking, Business/Finance",2.286,0.001,100,100,,,,,,,
    Bank of America,"Business/Finance, Business/Finance - Banking",20821.343,9.293,100,100,100,2916.312,659.217,1601.491,113506.562,5.808,5.451
        BANKOFAMERICA.COM,"Business/Finance - Banking, Business/Finance",20210.262,9.02,100,100,100,2829.434,635.121,1545.943,109576.902,5.796,5.422
        ML.COM,"Business/Finance, Business/Finance - News/Research",954.691,0.426,100,100,100,121.648,20.897,49.743,4867.356,4.293,5.098
        MANAGEREWARDSONLINE.COM,"Services - Incentives, Services",425.687,0.19,100,100,100,16.994,0.803,1.566,538.736,1.491,1.266
        IBSNETACCESS.COM,"Business/Finance - Personal Finance, Business/Finance",208.727,0.093,100,100,100,14.495,1.367,2.451,505.487,2.705,2.422
        APPLYONLINENOW.COM,"Business/Finance - Personal Finance, Business/Finance",125.776,0.056,100,100,100,4.538,0.443,0.584,141.04,3.144,1.121
        MBNAPAYERAUTH.COM,Business/Finance,65.46,0.029,100,100,,,,,,,
        COLUMBIAMANAGEMENT.COM,"Business/Finance - Personal Finance, Business/Finance",23.827,0.011,100,100,,,,,,,
        MBNANETACCESS.COM,Business/Finance,9.919,0.004,100,100,,,,,,,
        MBNA.COM,"Business/Finance - Banking, Business/Finance",8.501,0.004,100,100,,,,,,,
        FLEET.COM,"Business/Finance, Business/Finance - Banking",7.198,0.003,100,100,,,,,,,
    Woven,Entertainment,20673.324,9.227,100,100,100,1890.989,374.877,291.452,82021.169,4.57,3.967
        ELITEDAILY.COM,Corporate Presence,8860.956,3.955,100,100,100,434.213,24.493,18.359,14027.062,1.746,1.583
        WORLDSTARHIPHOP.COM*,"Entertainment, Entertainment - Multimedia",5293.175,2.362,100,100,100,709.562,186.03,123.564,34596.382,5.377,6.536
        THECHIVE.COM,"Entertainment, Entertainment - Humor",3676.926,1.641,100,100,100,270.25,68.5,75.887,12769.106,5.365,3.473
        CHEATCC.COM,"Games, Games - Gaming Information",2867.488,1.28,100,100,100,141.188,39.246,10.585,4795.948,8.183,1.673
        BROBIBLE.COM,Entertainment,1813.629,0.809,100,100,100,160.26,5.013,9.962,5738.886,0.874,3.164
        UPROXX.COM*,Entertainment,1582.374,0.706,100,100,100,91.992,7.744,6.428,3213.022,2.41,2.031
        HOTNEWHIPHOP.COM,"Entertainment, Entertainment - Music",1081.439,0.483,100,100,100,184.999,32.862,36.226,8430.874,3.898,7.796
        TOTALFRATMOVE.COM,Corporate Presence,1054.969,0.471,100,100,100,147.193,9.021,9.15,5022.577,1.796,4.761
        Filmdrunk Uproxx,"Entertainment, Entertainment - Movies",275.387,0.123,100,100,100,24.403,1.149,1.291,828.947,1.386,3.01
    Photobucket Sites,"Services - Photos, Services",20611.979,9.199,100,100,100,1501.928,132.222,175.761,57938.381,2.282,2.811
        PHOTOBUCKET.COM,"Services, Services - Photos",19382.761,8.651,100,100,100,1365.001,123.189,162.625,51607.698,2.387,2.663
        TINYPIC.COM,"Services - Photos, Services",2520.845,1.125,100,100,100,142.405,9.033,13.135,5420.243,1.667,2.15
    Macy's Inc.,"Retail - Department Stores, Retail",20417.437,9.113,100,100,100,1441.171,374.33,494.971,53469.27,7.001,2.619
        MACYS.COM,"Retail, Retail - Department Stores",19533.882,8.718,100,100,100,1332.144,341.672,419.9,48657.667,7.022,2.491
        BLOOMINGDALES.COM,"Retail - Department Stores, Retail",1884.78,0.841,100,100,100,135.523,31.297,72.724,5124.49,6.107,2.719
        MACYSJOBS.COM,Career Services and Development,184.346,0.082,100,100,100,7.644,0.974,1.222,251.528,3.872,1.364
        EMPLOYEECONNECTION.NET,Career Services and Development,126.801,0.057,100,100,100,16.99,0.354,1.037,643.874,0.55,5.078
        MACYSINC.COM,Corporate Presence,32.648,0.015,100,100,,,,,,,
        FEDERATED-FDS.COM,"Retail - Department Stores, Retail",3.422,0.002,100,100,,,,,,,
    GSN Games,"Games - Online Gaming, Games",20057.041,8.952,100,100,100,2194.345,1073.292,2338.727,114035.805,9.412,5.686
        NEWGROUNDS.COM,"Games - Online Gaming, Games",3866.513,1.726,100,100,100,225.417,43.53,46.689,8373.356,5.199,2.166
        MINECRAFTSKINS.COM,Services,3593.88,1.604,100,100,100,234.258,41.337,63.554,9255.432,4.466,2.575
        GSN,"Entertainment, Entertainment - TV",2456.688,1.096,100,100,100,274.275,156.385,159.998,16153.949,9.681,6.576
            GSN.COM,"Entertainment - TV, Entertainment",2433.657,1.086,100,100,100,273.422,156.081,159.532,16113.488,9.686,6.621
            GSNTV.COM,"Entertainment, Entertainment - TV",103.052,0.046,100,100,100,4.533,0.191,0.246,140.883,1.353,1.367
        WATCHCARTOONONLINE.COM,Entertainment,1759.865,0.785,100,100,100,292.602,29.535,70.965,18888.668,1.564,10.733
        PERFECTWORLD.COM,Games,1661.714,0.742,100,100,100,145.068,16.071,25.246,6442.623,2.495,3.877
        MANGAHERE.COM,Lifestyles,1607.983,0.718,100,100,100,291.329,376.661,1326.42,16958.78,22.21,10.547
        WORLDWINNER.COM*,"Games - Online Gaming, Games",1444.68,0.645,100,100,100,175.036,191.047,155.935,9559.57,19.985,6.617
        MOBAFIRE.COM,Games,1408.696,0.629,100,100,100,157.782,27.724,26.241,7821.562,3.545,5.552
        ARCADEPREHACKS.COM,Games,1249.814,0.558,100,100,100,99.361,18.77,18.263,4157.121,4.515,3.326
        FUNNY-GAMES.BIZ,"Games - Online Gaming, Games",958.764,0.428,100,100,100,48.897,10.898,8.783,1676.611,6.5,1.749
        MANGAFOX.ME,Entertainment,930.814,0.415,100,100,100,114.619,98.645,347.146,5736.809,17.195,6.163
        BOX10.COM,Games,650.701,0.29,100,100,100,28.391,4.909,3.554,1006.608,4.876,1.547
        ANIMEHERE.COM,"Entertainment, Entertainment - Multimedia",629.145,0.281,100,100,100,84.175,7.325,18.999,5696.429,1.286,9.054
        FUNNYMAMA.COM,"Entertainment, Entertainment - Humor",595.202,0.266,100,100,100,55.687,13.466,15.732,2415.452,5.575,4.058
        MMOBOMB.COM,"Games - Online Gaming, Games",576.033,0.257,100,100,100,29.471,2.225,5.706,990.852,2.246,1.72
        CRAZYMONKEYGAMES.COM,"Games - Online Gaming, Games",506.956,0.226,100,100,100,19.378,2.258,1.416,652.087,3.463,1.286
        GAME321.COM,"Games - Online Gaming, Games",438.34,0.196,100,100,100,36.048,8.557,12.274,1881.306,4.548,4.292
        MOFUNZONE.COM,"Games - Online Gaming, Games",399.53,0.178,100,100,100,16.635,1.369,1.546,589.977,2.321,1.477
        FLASHGAMES247.COM,"Games - Online Gaming, Games",369.477,0.165,100,100,100,14.648,0.648,1.149,471.038,1.375,1.275
        BUBBLEBOX.COM,"Games - Online Gaming, Games",355.104,0.158,100,100,100,16.64,2.122,1.713,586.042,3.62,1.65
        ONRPG.COM,"Games, Games - Gaming Information",326.836,0.146,100,100,100,17.278,0.95,1.968,586.501,1.62,1.794
        CHIA-ANIME.COM,"Entertainment, Entertainment - Multimedia",279.3,0.125,100,100,100,24.004,6.955,8.588,1256.563,5.535,4.499
        MMOHUTS.COM,"Games, Games - Online Gaming",269.777,0.12,100,100,100,15.81,1.364,2.431,562.151,2.427,2.084
        ENJOYDRESSUP.COM,Games,264.111,0.118,100,100,100,13.715,2.063,2.205,471.895,4.372,1.787
        GIRLGAMES4U.COM,"Games, Games - Online Gaming",231.382,0.103,100,100,100,9.961,0.692,1.567,339.048,2.041,1.465
        RAINBOWDRESSUP.COM,Games,176.045,0.079,100,100,100,7.675,0.339,0.444,239.543,1.414,1.361
        MMO-PLAY.COM,"Games, Games - Gaming Information",167.271,0.075,100,100,100,7.353,0.504,1.361,235.077,2.146,1.405
        XFIRE.COM,Games,166.634,0.074,100,100,100,11.598,0.943,1.186,431.314,2.185,2.588
        GAMOLITION.COM,"Games - Online Gaming, Games",111.778,0.05,100,100,100,4.184,0.257,0.305,132.071,1.943,1.182
        MMOHUT.COM,Games,97.366,0.043,100,100,100,4.144,0.079,0.144,139.178,0.57,1.429
        EGIRLGAMES.NET,"Games - Online Gaming, Games",94.866,0.042,100,100,100,3.998,1.09,1.238,147,7.417,1.55
        GAMEGAPE.COM,Games,92.13,0.041,100,100,100,4.071,0.776,0.573,139.669,5.555,1.516
        PLAYGAMES2.COM,Games,88.729,0.04,100,100,100,3.222,0.154,0.253,102.813,1.497,1.159
        SLUNGO.COM,"Games, Games - Online Gaming",85.654,0.038,100,100,100,3.158,0.181,0.292,98.321,1.844,1.148
        GREATCARGAMES.COM,"Games, Games - Online Gaming",79.059,0.035,100,100,100,2.795,0.147,0.222,86.919,1.693,1.099
        NX8.COM,"Games - Online Gaming, Games",77.859,0.035,100,100,100,4.404,0.438,0.531,151.503,2.891,1.946
        FREEMMORPGLIST.COM,Games,77.5,0.035,100,100,100,2.834,0.141,0.176,88.132,1.595,1.137
        FREEMMOGAMER.COM,"Games, Games - Gaming Information",69.153,0.031,100,100,100,2.492,0.096,0.478,78.139,1.234,1.13
        DRESSUPKISS.COM,"Games, Games - Online Gaming",67.269,0.03,100,100,100,2.92,0.088,0.285,96.846,0.913,1.44
        CARTITANS.COM,Games,66.612,0.03,100,100,100,2.719,0.252,0.285,92.578,2.717,1.39
        POSHDRESSUP.COM,Games,59.616,0.027,100,100,100,2.91,0.32,0.398,95.662,3.34,1.605
        CUTEZEE.COM,"Family & Youth - Kids, Family & Youth",57.546,0.026,100,100,100,2.128,0.256,0.322,67.691,3.786,1.176
        2GAMES.COM,Games,55.336,0.025,100,100,100,2.417,0.416,0.626,84.258,4.941,1.523
        GAMEITEMS.COM,"Games, Games - Online Gaming",54.434,0.024,100,100,100,2.127,0.082,0.184,75.076,1.098,1.379
        FREEBROWSERGAMER.COM,Games,45.376,0.02,100,100,100,1.772,0.044,0.185,55.998,0.789,1.234
        FUNNY-BASE.COM,"Games, Games - Online Gaming",41.56,0.019,100,100,100,1.635,0.169,0.224,51.044,3.302,1.228
        AGEOFGAMES.NET,Games,38.919,0.017,100,100,,,,,,,
        CPMSTAR.COM,Corporate Presence,33.008,0.015,100,100,100,1.184,0.104,0.217,37.553,2.764,1.138
        TEAGAMES.COM,"Games, Games - Online Gaming",29.497,0.013,100,100,100,1.447,0.103,0.168,51.875,1.985,1.759
        STRATICS.COM,"Games - Gaming Information, Games",27.375,0.012,100,100,,,,,,,
        FIZZY.COM,"Games - Online Gaming, Games",26.327,0.012,100,100,100,1.211,0.043,0.15,38.808,1.103,1.474
        ARCADECABIN.COM,"Games, Games - Online Gaming",20.115,0.009,100,100,100,0.745,0.041,0.056,23.666,1.733,1.177
        SUGAR-FREE-GAMES.COM,Games,15.465,0.007,100,100,,,,,,,
        7HI.COM,Games,10.746,0.005,100,100,,,,,,,
        BOYIS.COM,"Services - Web Hosting, Services",7.157,0.003,100,100,,,,,,,
        BOYCOOL.COM,Entertainment,7.003,0.003,100,100,,,,,,,
        IE-GAMES.COM,Games,4.085,0.002,100,100,,,,,,,
        FUNNYPART.COM,"Entertainment - Humor, Entertainment",1.394,0.001,100,100,,,,,,,
        FLASHGAMESITE.COM,"Games - Online Gaming, Games",1.266,0.001,100,100,,,,,,,
    IHeartRadio Network,"Entertainment - Radio, Entertainment",19992.863,8.923,100,100,100,1769.687,263.732,217.995,73589.712,3.584,3.681
        THEBLAZE.COM,"News/Information - General News, News/Information",6403.355,2.858,100,100,100,632.427,132.323,77.664,27357.935,4.837,4.272
        IHEART.COM,"Entertainment, Entertainment - Radio",4975.592,2.221,100,100,100,464.092,35.002,40.237,18860.334,1.856,3.791
        Clear Channel Radio Hits,"Entertainment, Entertainment - Radio",2471.104,1.103,100,100,100,155.586,10.807,12.7,5962.556,1.812,2.413
            Z100.COM,"Entertainment, Entertainment - Radio",288.552,0.129,100,100,100,16.181,0.753,1.379,530.62,1.419,1.839
            ELVISDURAN.COM,"Entertainment, Entertainment - Radio",237.189,0.106,100,100,100,14.35,1.407,2.075,503.975,2.792,2.125
            KIISFM.COM,"Entertainment, Entertainment - Radio",164.193,0.073,100,100,100,14.335,0.774,0.813,478.289,1.618,2.913
            KISS108.COM,"Entertainment - Radio, Entertainment",162.576,0.073,100,100,100,8.999,0.634,0.669,300.602,2.108,1.849
            HOT995.COM,"Entertainment, Entertainment - Radio",158.786,0.071,100,100,100,15.321,1.062,1.106,707.502,1.501,4.456
            WNCI.COM,"Entertainment - Radio, Entertainment",157.556,0.07,100,100,100,6.411,0.219,0.267,200.978,1.092,1.276
            G105.COM,"Entertainment, Entertainment - Radio",114.131,0.051,100,100,,,,,,,
            933FLZ.COM,"Entertainment, Entertainment - Radio",98.998,0.044,100,100,100,7.407,0.248,0.403,235.772,1.053,2.382
            KDWB.COM,"Entertainment - Radio, Entertainment",95.007,0.042,100,100,100,6.949,0.396,0.523,249.834,1.584,2.63
            Q102.COM,"Entertainment, Entertainment - Radio",92.183,0.041,100,100,100,8.508,0.373,0.543,298.88,1.249,3.242
            WILD949.COM,"Entertainment - Radio, Entertainment",86.584,0.039,100,100,100,7.894,0.359,0.4,305.932,1.174,3.533
            CHANNEL955.COM,"Entertainment, Entertainment - Radio",85.066,0.038,100,100,100,6.723,0.501,0.464,212.494,2.359,2.498
            1061KISSFM.COM,"Entertainment, Entertainment - Radio",82.379,0.037,100,100,100,3.366,0.141,0.219,121.491,1.162,1.475
            961KISS.COM,"Entertainment - Radio, Entertainment",81.415,0.036,100,100,100,5.972,0.234,0.241,190.874,1.225,2.344
            967KISSFM.COM,"Entertainment, Entertainment - Radio",66.354,0.03,100,100,,,,,,,
            KTU.COM,"Entertainment, Entertainment - Radio",56.467,0.025,100,100,,,,,,,
            KISS957.COM,"Entertainment, Entertainment - Radio",45.741,0.02,100,100,,,,,,,
            1047KISSFM.COM,"Entertainment, Entertainment - Radio",40.865,0.018,100,100,,,,,,,
            WILD955.COM,"Entertainment, Entertainment - Radio",40.377,0.018,100,100,,,,,,,
            HOT1079.COM,"Entertainment - Radio, Entertainment",37.183,0.017,100,100,,,,,,,
            CHANNEL933.COM,"Entertainment, Entertainment - Radio",36.325,0.016,100,100,,,,,,,
            JAMN945.COM,"Entertainment - Radio, Entertainment",34.476,0.015,100,100,100,3.4,0.189,0.21,150.653,1.252,4.37
            1035KISSFM.COM,"Entertainment - Radio, Entertainment",33.639,0.015,100,100,100,1.574,0.098,0.115,54.942,1.782,1.633
            Z1077.COM,"Entertainment, Entertainment - Radio",30.755,0.014,100,100,,,,,,,
            Z100PORTLAND.COM,"Entertainment, Entertainment - Radio",22.989,0.01,100,100,,,,,,,
            1075THERIVER.COM,"Entertainment - Radio, Entertainment",22.845,0.01,100,100,,,,,,,
            KISSCLEVELAND.COM,"Entertainment - Radio, Entertainment",17.021,0.008,100,100,,,,,,,
            KRQ.COM,"Entertainment - Radio, Entertainment",13.373,0.006,100,100,,,,,,,
            971ZHT.COM,"Entertainment, Entertainment - Radio",13.015,0.006,100,100,,,,,,,
            XL1067.COM,"Entertainment, Entertainment - Radio",10.81,0.005,100,100,,,,,,,
            925KISSFM.COM,"Entertainment - Radio, Entertainment",10.364,0.005,100,100,,,,,,,
            KUBE93.COM,"Entertainment - Radio, Entertainment",8.641,0.004,100,100,,,,,,,
            1037THEQ.COM,"Entertainment - Radio, Entertainment",8.578,0.004,100,100,,,,,,,
            979KISSFM.COM,"Entertainment - Radio, Entertainment",8.257,0.004,100,100,,,,,,,
            KGGIRADIO.COM,"Entertainment - Radio, Entertainment",5.177,0.002,100,100,,,,,,,
            MIX961.COM,"Entertainment, Entertainment - Radio",4.679,0.002,100,100,,,,,,,
            HOT983.COM,"Entertainment - Radio, Entertainment",2.131,0.001,100,100,,,,,,,
            B95FORLIFE.COM,"Entertainment - Radio, Entertainment",0.446,0,100,100,,,,,,,
        Clear Channel Radio News-Talk-Sports,"Entertainment, Entertainment - Radio",1567.467,0.7,100,100,100,117.229,13.93,12.849,4094.741,3.402,2.612
            KTRH.COM,"Entertainment - Radio, Entertainment",203.572,0.091,100,100,100,17.388,0.936,0.645,549.822,1.702,2.701
            KFAN.COM,"Entertainment, Entertainment - Radio",165.978,0.074,100,100,100,23.78,2.496,2.408,877.363,2.845,5.286
            700WLW.COM,"Entertainment - Radio, Entertainment",99.106,0.044,100,100,,,,,,,
            KFI640.COM,"Entertainment, Entertainment - Radio",91.142,0.041,100,100,100,10.649,0.452,0.574,407.653,1.109,4.473
            KFYI.COM,"Entertainment, Entertainment - Radio",57.68,0.026,100,100,,,,,,,
            WTAM.COM,"Entertainment, Entertainment - Radio",56.528,0.025,100,100,,,,,,,
            KPRCRADIO.COM,"Entertainment - Radio, Entertainment",46.77,0.021,100,100,,,,,,,
            620WDAE.COM,"Entertainment, Entertainment - Radio",46.723,0.021,100,100,,,,,,,
            WTKS.COM,"Entertainment, Entertainment - Radio",35.293,0.016,100,100,,,,,,,
            WGY.COM,"Entertainment, Entertainment - Radio",9.005,0.004,100,100,,,,,,,
            WJNO.COM,"Entertainment, Entertainment - Radio",8.619,0.004,100,100,,,,,,,
            610WTVN.COM,"Entertainment - Radio, Entertainment",8.56,0.004,100,100,,,,,,,
            AM570RADIO.COM,"Entertainment, Entertainment - Radio",7.067,0.003,100,100,,,,,,,
            WOODRADIO.COM,"Entertainment, Entertainment - Radio",3.825,0.002,100,100,,,,,,,
            WHAM1180.COM,"Entertainment - Radio, Entertainment",3.67,0.002,100,100,,,,,,,
            WHAS.COM,"Entertainment, Entertainment - Radio",3.057,0.001,100,100,,,,,,,
            KJRAM.COM,"Entertainment, Entertainment - Radio",1.004,0,100,100,,,,,,,
            WMRN.COM,"Entertainment, Entertainment - Radio",0.913,0,100,100,,,,,,,
            WPGB.COM,"Entertainment - Radio, Entertainment",0.794,0,100,100,,,,,,,
        Clear Channel Radio Rock,"Entertainment, Entertainment - Radio",1529.185,0.682,100,100,100,107.274,7.356,9.276,3671.383,2.004,2.401
            THEBUZZ.COM,"Entertainment, Entertainment - Radio",290.08,0.129,100,100,100,22.223,1.281,1.503,746.407,1.716,2.573
            DC101.COM,"Entertainment, Entertainment - Radio",120.274,0.054,100,100,100,7.867,0.315,0.403,243.873,1.291,2.028
            WEBN.COM,"Entertainment, Entertainment - Radio",77.426,0.035,100,100,100,6.324,0.282,0.244,203.754,1.385,2.632
            WJRR.COM,"Entertainment - Radio, Entertainment",73.462,0.033,100,100,,,,,,,
            DVE.COM,"Entertainment, Entertainment - Radio",57.88,0.026,100,100,,,,,,,
            KDGE.COM,"Entertainment, Entertainment - Radio",51.243,0.023,100,100,,,,,,,
            WMMS.COM,"Entertainment - Radio, Entertainment",49.943,0.022,100,100,,,,,,,
            1059THEX.COM,"Entertainment, Entertainment - Radio",44.572,0.02,100,100,,,,,,,
            98ROCK.COM,"Entertainment, Entertainment - Radio",35.277,0.016,100,100,,,,,,,
            1065.COM,"Entertainment - Radio, Entertainment",35.075,0.016,100,100,,,,,,,
            EDGELITTLEROCK.COM,"Entertainment, Entertainment - Radio",30.534,0.014,100,100,,,,,,,
            Q1043.COM,"Entertainment - Radio, Entertainment",27.974,0.012,100,100,,,,,,,
            957KJRFM.COM,"Entertainment, Entertainment - Radio",22.114,0.01,100,100,,,,,,,
            WHJY.COM,"Entertainment, Entertainment - Radio",18.25,0.008,100,100,,,,,,,
            101KGB.COM,"Entertainment - Radio, Entertainment",17.515,0.008,100,100,,,,,,,
            ROCK1053.COM,"Entertainment - Radio, Entertainment",17.152,0.008,100,100,,,,,,,
            Q95.COM,"Entertainment - Radio, Entertainment",12.184,0.005,100,100,,,,,,,
            KBPI.COM,"Entertainment, Entertainment - Radio",9.943,0.004,100,100,,,,,,,
            WXEG.COM,"Entertainment - Radio, Entertainment",9.894,0.004,100,100,,,,,,,
            X103.COM,"Entertainment, Entertainment - Radio",8.602,0.004,100,100,,,,,,,
            WRFX.COM,"Entertainment, Entertainment - Radio",4.193,0.002,100,100,,,,,,,
        Clear Channel Radio Adult Contemporary,"Entertainment - Radio, Entertainment",1147.076,0.512,100,100,100,46.611,7.698,9.127,1574.35,4.89,1.372
            1067LITEFM.COM,"Entertainment - Radio, Entertainment",159.859,0.071,100,100,100,8.811,0.312,0.449,301.718,1.034,1.887
            V103.COM,"Entertainment, Entertainment - Radio",126.407,0.056,100,100,100,11.351,0.608,0.447,399.979,1.52,3.164
            987THERIVER.COM,"Entertainment - Radio, Entertainment",81.93,0.037,100,100,100,3.548,0.062,0.113,109.999,0.564,1.343
            WASHFM.COM,"Entertainment, Entertainment - Radio",62.298,0.028,100,100,,,,,,,
            KOST1035.COM,"Entertainment, Entertainment - Radio",49.766,0.022,100,100,,,,,,,
